Reference, Value, Footprint, Datasheet
"U2","AS3320","Housings_DIP:DIP-18_W7.62mm","http://www.alfarzpp.lv/eng/sc/AS3320.pdf"
"R2","100k","synth:radial","~"
"R4","47k","synth:radial","~"
"R6","120k","synth:radial","~"
"R14","100k","synth:radial","~"
"R10","91k","synth:radial","~"
"R13","100k","synth:radial","~"
"R9","91k","synth:radial","~"
"R12","100k","synth:radial","~"
"R8","91k","synth:radial","~"
"R11","100k","synth:radial","~"
"C4","150p","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C3","150p","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2","150p","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C1","150p","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R7","200k","synth:radial","~"
"R3","100k","synth:radial","~"
"R5","1k8","synth:radial","~"
"R16","3k","synth:radial","~"
"R25","51k","synth:radial","~"
"R23","240k","synth:radial","~"
"R19","68k","synth:radial","~"
"C5","2u2","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","~"
"R15","1k5","synth:radial","~"
"J4","Conn_01x04_Female","Socket_Strips:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"J1","Conn_01x04_Female","Socket_Strips:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"J2","Conn_01x04_Female","Socket_Strips:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"R20","100k","synth:radial","~"
"U3","AS3330","Housings_DIP:DIP-18_W7.62mm","http://www.alfarzpp.lv/eng/sc/AS3330.pdf"
"U1","TL084","Housings_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"R31","51k","synth:radial","~"
"R21","150k","synth:radial","~"
"R17","33k","synth:radial","~"
"R18","1k","synth:radial","~"
"C7","5n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R27","680","synth:radial","~"
"R24","6.8k","synth:radial","~"
"C8","100n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R22","100k","synth:radial","~"
"C6","1n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"J3","Conn_01x16_Male","synth:card_16_slot","~"
"R32","51k","synth:radial","~"
"R29","150k","synth:radial","~"
"R26","33k","synth:radial","~"
"R28","1k","synth:radial","~"
"C10","5n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R30","100k","synth:radial","~"
"C9","1n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R1","47k","synth:radial","~"
"J5","Conn_01x16_Male","synth:card_16_slot","~"
"C12","100n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C13","100n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C11","100n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
